127.0.0.1 - - [14/Sep/2024:13:06:06 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:06:08 +0545] "GET /JSPProject/ HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:06:09 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:06:25 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:07:20 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:11:06 +0545] "GET /JSPProject/ HTTP/1.1" 500 2943
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:13:18 +0545] "GET /JSPProject/ HTTP/1.1" 500 2348
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:15:38 +0545] "GET /JSPProject/ HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:15:47 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:16:49 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:30:39 +0545] "GET /JSPProject/ HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:30:54 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:34:03 +0545] "GET /JSPProject/ HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:34:18 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:39:49 +0545] "GET /JSPProject/ HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:40:05 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:43:30 +0545] "GET /JSPProject/ HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:43:39 +0545] "POST /JSPProject/index.jsp HTTP/1.1" 200 2537
